Id,Job Title,Company Name,Experience,Salary,Date Posted,Location,Skills,URL
186,Data Scientist,Prompt Softech,2 - 3 yrs,Not Mentioned,few days ago,Ahmedabad,"algorithms  ,  python  ,  rdbms  ,  data mining  ,  bi  ,  machine learning  ,  sql  ,  hadoop  ,  technical skills",https://www.timesjobs.com/job-detail/data-scientist-prompt-softech-ahmedabad-2-to-3-yrs-jobid-e__SLASH__jmKU7DomJzpSvf__PLUS__uAgZw==&source=srp
187,Data Scientist,Gainwell Technologies,5 - 10 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"data science   ,   machine learning   ,   sql   ,   python   ,   r   ,  algorithms  ,  scala  ,  storage  ,  apache  ,  hadoop  ,  natural language processing",https://www.timesjobs.com/job-detail/data-scientist-gainwell-technologies-bengaluru-bangalore-5-to-10-yrs-jobid-gS6JIpaxQ0tzpSvf__PLUS__uAgZw==&source=srp
188,Data Scientists,pratibha analytics,3 - 20 yrs,Not Mentioned,few days ago,Hyderabad/Secunderabad,"advanced analytics  ,  sas  ,  data science  ,  spss",https://www.timesjobs.com/job-detail/data-scientists-pratibha-analytics-hyderabad-secunderabad-3-to-20-yrs-jobid-KOM0AvFJoI5zpSvf__PLUS__uAgZw==&source=srp
189,Data Scientist,SRINSOFT TECHNOLOGIES,3 - 5 yrs,Not Mentioned,few days ago,Chennai,"algorithms  ,  bi  ,  sql  ,  hadoop  ,  big data  ,  python  ,  machine learning",https://www.timesjobs.com/job-detail/data-scientist-srinsoft-technologies-chennai-3-to-5-yrs-jobid-CT1W2bKVB49zpSvf__PLUS__uAgZw==&source=srp
190,Data Scientist,rxlogix corporation,4 - 7 yrs,Not Mentioned,5 days ago,Noida/Greater Noida,"machine learning  ,   natural language processing  ,   python  ,   software development  ,   ai  /  ml   ,  pl  /  sql",https://www.timesjobs.com/job-detail/data-scientist-rxlogix-corporation-noida-greater-noida-4-to-7-yrs-jobid-UlLwOE6uErhzpSvf__PLUS__uAgZw==&source=srp
191,Java Developer,Commdel Consulting Services Pvt Ltd,0 - 3 yrs,Not Mentioned,few days ago,Noida/Greater Noida,"java developer  ,  devops  ,  infrastructure  ,  .net",https://www.timesjobs.com/job-detail/java-developer-commdel-consulting-services-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-VwwQ9__SLASH__JZ9yBzpSvf__PLUS__uAgZw==&source=srp
192,Java Developer,destiny hr group services,2 - 5 yrs,Not Mentioned,few days ago,"Delhi,  Delhi/NCR","java developer  ,  java  ,  j2ee  ,  ejb",https://www.timesjobs.com/job-detail/java-developer-destiny-hr-group-services-delhi-delhi-ncr-2-to-5-yrs-jobid-K9JrexWKrM1zpSvf__PLUS__uAgZw==&source=srp
193,Java Developer,AAR Technologies and Software Solution Pvt. Ltd.,0 - 3 yrs,Not Mentioned,few days ago,Kolkata,"spring framework  ,  java ee  ,  java developer  ,  sql",https://www.timesjobs.com/job-detail/java-developer-aar-technologies-and-software-solution-pvt-ltd-kolkata-0-to-3-yrs-jobid-xoFdp9d4SoJzpSvf__PLUS__uAgZw==&source=srp
194,Java Developer,CodeCrux Web Technologies ( P )  Ltd.,4 - 5 yrs,Not Mentioned,6 days ago,Hyderabad/Secunderabad,"java developer  ,  docker  ,  spring  ,  security  ,  java  ,  api",https://www.timesjobs.com/job-detail/java-developer-codecrux-web-technologies-p-ltd-hyderabad-secunderabad-4-to-5-yrs-jobid-ngV__PLUS__E7DILIVzpSvf__PLUS__uAgZw==&source=srp
195,Java Developer,GLOWTOUCH TECHNOLOGIES,5 - 8 yrs,Not Mentioned,few days ago,"Mysoru / Mysore,  Mangalore,  Bengaluru / Bangalore","spring  ,  hosting  ,  j2ee  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-glowtouch-technologies-mysoru-mysore-mangalore-bengaluru-bangalore-5-to-8-yrs-jobid-w__PLUS__IiHLFqc89zpSvf__PLUS__uAgZw==&source=srp
196,Java Developer,Headhuntersinc consultancy Private Limited,3 - 6 yrs,Not Mentioned,few days ago,Chennai,"spring  ,  rest  ,  java  ,  soap  ,  java developer  ,  crm",https://www.timesjobs.com/job-detail/java-developer-headhuntersinc-consultancy-private-limited-chennai-3-to-6-yrs-jobid-XWU9ymwUd9lzpSvf__PLUS__uAgZw==&source=srp
197,JAVA DEVELOPER,Headhuntersinc consultancy Private Limited,3 - 6 yrs,Not Mentioned,few days ago,Chennai,"spring  ,  rest  ,  java  ,  soap  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-headhuntersinc-consultancy-private-limited-chennai-3-to-6-yrs-jobid-5EoVSRP6ZUJzpSvf__PLUS__uAgZw==&source=srp
198,Java Developer,vgn it craftsmen solutions pvt. ltd noida,1 - 3 yrs,Not Mentioned,few days ago,Noida/Greater Noida,"java  ,  java ee  ,  j2ee  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-vgn-it-craftsmen-solutions-pvt-ltd-noida-noida-greater-noida-1-to-3-yrs-jobid-wTjXgiwYJINzpSvf__PLUS__uAgZw==&source=srp
199,Java Developer,Logic Eastern India Pvt Ltd,0 - 3 yrs,Not Mentioned,few days ago,Noida/Greater Noida,"triggers  ,  java developer  ,  advanced java  ,  struts  ,  linux  ,  mysql  ,  multithreading",https://www.timesjobs.com/job-detail/java-developer-logic-eastern-india-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-PeYBaEJaD__PLUS__1zpSvf__PLUS__uAgZw==&source=srp
200,Java Developer,Infochord Technologies Pvt. Ltd.,0 - 1 yrs,Not Mentioned,few days ago,Hyderabad/Secunderabad,"java  ,  oops  ,  project life cycle  ,  team player  ,  hibernate  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-infochord-technologies-pvt-ltd-hyderabad-secunderabad-0-to-1-yrs-jobid-eJTz2UrgW21zpSvf__PLUS__uAgZw==&source=srp
201,-Java Developer,NEW AVENUES CONSULTING,2 - 5 yrs,Not Mentioned,few days ago,"Gurgaon,  Bengaluru / Bangalore","spring  ,  java  ,  jsp  ,  hibernate  ,  javascript  ,  jquery  ,  java developer  ,  sql",https://www.timesjobs.com/job-detail/java-developer-new-avenues-consulting-gurgaon-bengaluru-bangalore-2-to-5-yrs-jobid-cWAcvtFHrIhzpSvf__PLUS__uAgZw==&source=srp
202,Java Developer,origin hr,3 - 6 yrs,Not Mentioned,few days ago,"Mumbai,  Pune,  Bengaluru / Bangalore","sybase  ,  java developer  ,  spring  ,  database  ,  java  ,  xml  ,  system development  ,  linux",https://www.timesjobs.com/job-detail/java-developer-origin-hr-mumbai-pune-bengaluru-bangalore-3-to-6-yrs-jobid-ydOipgZV70JzpSvf__PLUS__uAgZw==&source=srp
203,Java Developer,BUSISOL SOURCING INDIA PVT. LTD,2 - 5 yrs,Not Mentioned,few days ago,Mumbai,"spring boot  ,  java  ,  .net  ,  mvc architecture  ,  mysql  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-busisol-sourcing-india-pvt-ltd-mumbai-2-to-5-yrs-jobid-diJNtJ2WdaZzpSvf__PLUS__uAgZw==&source=srp
204,Java Developer,expertiz,3 - 6 yrs,Not Mentioned,few days ago,Chennai,"sterling commerce  ,  java  ,  web technologies  ,  technical skills  ,  javascript  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-expertiz-chennai-3-to-6-yrs-jobid-h4qx2nubxnNzpSvf__PLUS__uAgZw==&source=srp
205,Java developer,Headhuntersinc consultancy Private Limited,0 - 3 yrs,Not Mentioned,few days ago,Chennai,"spring  ,  rest  ,  java  ,  mobile  ,  telecom  ,  soap  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-headhuntersinc-consultancy-private-limited-chennai-0-to-3-yrs-jobid-lo0HFbSJ__PLUS__UFzpSvf__PLUS__uAgZw==&source=srp
206,Java Developer,origin hr,3 - 6 yrs,Not Mentioned,few days ago,"Mumbai,  Pune,  Bengaluru / Bangalore","sybase  ,  java developer  ,  spring  ,  database  ,  java  ,  xml  ,  system development  ,  linux",https://www.timesjobs.com/job-detail/java-developer-origin-hr-mumbai-pune-bengaluru-bangalore-3-to-6-yrs-jobid-7FBWpqX__PLUS__xyBzpSvf__PLUS__uAgZw==&source=srp
207,Java Developer,I2SOFT TECHNOLOGIES,0 - 1 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"spring  ,  java  ,  j2ee  ,  mysql  ,  hibernate  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-i2soft-technologies-bengaluru-bangalore-0-to-1-yrs-jobid-CyxmchhPNLNzpSvf__PLUS__uAgZw==&source=srp
208,Java Developer,destiny hr group services,3 - 6 yrs,Not Mentioned,few days ago,Gurgaon,"spring  ,  spring boot  ,  rest  ,  java  ,  html5  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-destiny-hr-group-services-gurgaon-3-to-6-yrs-jobid-IfnCP9LwVktzpSvf__PLUS__uAgZw==&source=srp
209,Java Developer,CONNECTING 2 WORK,4 - 7 yrs,Not Mentioned,few days ago,Thiruvananthapuram,"fundamentals  ,  algorithms  ,  python  ,  problem solving  ,  java developer  ,  java  ,  java ee  ,  data structures  ,  software engineering",https://www.timesjobs.com/job-detail/java-developer-connecting-2-work-thiruvananthapuram-4-to-7-yrs-jobid-a48xDIJV7V9zpSvf__PLUS__uAgZw==&source=srp
210,Java developer,HyreFox Consultants,0 - 3 yrs,Not Mentioned,a month ago,Jaipur,"java  ,  drools  ,  object oriented programming  ,  sql  ,  java developer",https://www.timesjobs.com/job-detail/java-developer-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-Mi8XJoQoT51zpSvf__PLUS__uAgZw==&source=srp
211,JAVA DEVELOPER,rendered ideas,1 - 4 yrs,Not Mentioned,few days ago,Mumbai,"c#  ,  c    ,  system programming  ,  os  ,  java developer  ,  java  ,  games  ,  debugging  ,  object oriented programming",https://www.timesjobs.com/job-detail/java-developer-rendered-ideas-mumbai-1-to-4-yrs-jobid-kUuw7Cv9NHlzpSvf__PLUS__uAgZw==&source=srp
212,Java Developer,Headhuntersinc consultancy Private Limited,6 - 10 yrs,Not Mentioned,few days ago,Chennai,"gwt  ,  senior software engineer  ,  ajax  ,  java developer  ,  java  ,  written communication  ,  j2ee  ,  sql database",https://www.timesjobs.com/job-detail/java-developer-headhuntersinc-consultancy-private-limited-chennai-6-to-10-yrs-jobid-QOAD__PLUS__rjK2SpzpSvf__PLUS__uAgZw==&source=srp
213,JAVA DEVELOPER,CONNECTING 2 WORK,1 - 4 yrs,Not Mentioned,few days ago,Cochin/ Kochi/ Ernakulam,"hibernate  ,  java developer  ,  spring  ,  multimedia  ,  advanced java  ,  java  ,  infrastructure  ,  servlets  ,  debugging  ,  mysql",https://www.timesjobs.com/job-detail/java-developer-connecting-2-work-cochin-kochi-ernakulam-1-to-4-yrs-jobid-qQRWVhHsdHtzpSvf__PLUS__uAgZw==&source=srp
214,Java Developer,vocso technologies,3 - 8 yrs,Not Mentioned,few days ago,Faridabad,"java  ,  oracle  ,  j2ee  ,  web development  ,  mysql  ,  java developer  ,  nosql",https://www.timesjobs.com/job-detail/java-developer-vocso-technologies-faridabad-3-to-8-yrs-jobid-rWrVEOipHoVzpSvf__PLUS__uAgZw==&source=srp
215,JAVA DEVELOPER,DREAMAJAX TECHNOLOGIES,3 - 6 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"maven  ,  problem solving  ,  hibernate  ,  apache tomcat  ,  java developer  ,  eclipse  ,  spring  ,  java  ,  multithreading  ,  data structures",https://www.timesjobs.com/job-detail/java-developer-dreamajax-technologies-bengaluru-bangalore-3-to-6-yrs-jobid-naq9SGRd6FlzpSvf__PLUS__uAgZw==&source=srp
216,Python Developer,"Global Talent pool
     (More Jobs)",15 - 20 yrs,Rs 40.00 - 45.00 Lacs p.a.,few days ago,Not specified,"Python  ,  Python development  ,  Python framework  ,  Django  ,  Fast API  ,  fastapi  ,  JavaScript  ,  java script  ,  React  ,  Linux Server Administration  ,  Git  ,  GitLab  ,  Lambda  ,  Python developer",https://www.timesjobs.com/job-detail/python-developer-global-talent-pool-bengaluru-bangalore-15-to-20-yrs-jobid-XXwHyySu1GJzpSvf__PLUS__uAgZw==&source=srp
217,Python Developer,"pooja consultant
     (More Jobs)",4 - 9 yrs,Not Mentioned,6 days ago,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata,  Mumbai",Digital Marketing,https://www.timesjobs.com/job-detail/python-developer-pooja-consultant-bengaluru-bangalore-chennai-hyderabad-secunderabad-kolkata-mumbai-4-to-9-yrs-jobid-bKLa__PLUS__p2Yeh9zpSvf__PLUS__uAgZw==&source=srp
218,Python Developer,"LTIMindtree Ltd.
     (More Jobs)",4 - 9 yrs,Not Mentioned,a month ago,Mumbai,"python3  ,  Object Oriented Analysis  ,  Design Patterns  ,  GIT  ,  jenkins",https://www.timesjobs.com/job-detail/python-developer-ltimindtree-ltd-mumbai-4-to-9-yrs-jobid-LGeknY79__SLASH__cBzpSvf__PLUS__uAgZw==&source=srp
219,Python Developer,"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)",3 - 4 yrs,Rs 3.00 - 5.00 Lacs p.a.,a month ago,Not specified,"AWS  ,  RDBMS  ,  MySQL  ,  MariaDB  ,  PostgreSQL  ,  Redis  ,  SQL  ,  NGINX  ,  Apache  ,  HTML  ,  CSS  ,  Javascript  ,  Python  ,  Eclipse  ,  Java  ,  VSCode  ,  HTML  ,  CSS  ,  Javascript  ,  Python  ,  python  ,  Python  ,  pip  ,  Pandas  ,  Numpy Flask  ,  Java  ,  Maven  ,  Gradle Spring framework  ,  Hibernate  ,  Apache ecosystem  ,  container",https://www.timesjobs.com/job-detail/python-developer-white-force-outsourcing-pvt-ltd-jabalpur-3-to-4-yrs-jobid-kbp5LYZQm9VzpSvf__PLUS__uAgZw==&source=srp
220,Python Developer,"CEORRA TECHNOLOGIES PRIVATE LIMITED
     (More Jobs)",0 - 2 yrs,Rs 1.10 - 1.25 Lacs p.a.,a month ago,Not specified,"Software Designing  ,  Technical Content",https://www.timesjobs.com/job-detail/python-developer-ceorra-technologies-private-limited-rajkot-0-to-2-yrs-jobid-GZac9b3b2OBzpSvf__PLUS__uAgZw==&source=srp
221,PYTHON DEVELOPER,"CEORRA TECHNOLOGIES PRIVATE LIMITED
     (More Jobs)",0 - 1 yrs,Rs 1.10 - 1.15 Lacs p.a.,a month ago,Not specified,"Ms Office  ,  software developer",https://www.timesjobs.com/job-detail/python-developer-ceorra-technologies-private-limited-surat-0-to-1-yrs-jobid-RmEgOwQFSQpzpSvf__PLUS__uAgZw==&source=srp
222,Python Developer,"Electrobrain modern technologies pvt ltd
     (More Jobs)",2 - 7 yrs,Rs 7.20 - 11.00 Lacs p.a.,few days ago,Not specified,"science  ,  Matplotlib  ,  GIT  ,  Pandas  ,  AWS  ,  Numpy  ,  Python  ,  Django  ,  Mongodb  ,  Node  ,  js",https://www.timesjobs.com/job-detail/python-developer-electrobrain-modern-technologies-pvt-ltd-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-pune-2-to-7-yrs-jobid-ApDY6mh0DvZzpSvf__PLUS__uAgZw==&source=srp
223,Python Developer,InnOvator Web Solutions Pvt.Ltd.,5 - 8 yrs,Not Mentioned,few days ago,Mumbai,"rest  ,  python  ,  django  ,  web developer  ,  mysql  ,  api",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
224,Python Developer,Cybage Software Pvt Ltd,4 - 7 yrs,Not Mentioned,few days ago,"Gandhinagar,  Hyderabad/Secunderabad,  Pune","python  ,  html5  ,  javascript  ,  nosql  ,  docker  ,  django  ,  software developer  ,  mongodb",https://www.timesjobs.com/job-detail/python-developer-cybage-software-pvt-ltd-gandhinagar-hyderabad-secunderabad-pune-4-to-7-yrs-jobid-GN9SDLPIUuJzpSvf__PLUS__uAgZw==&source=srp
225,Python Developer,v support solutions,2 - 5 yrs,Not Mentioned,few days ago,Chennai,"rest  ,  python  ,  natural language processing  ,  django  ,  debugging  ,  mysql  ,  software developer  ,  mongodb  ,  soap",https://www.timesjobs.com/job-detail/python-developer-v-support-solutions-chennai-2-to-5-yrs-jobid-xZ1x7dJZmzNzpSvf__PLUS__uAgZw==&source=srp
226,Python Developer,NTT Data Vertex Software Inc.,3 - 9 yrs,Not Mentioned,4 days ago,Hyderabad/Secunderabad,"python programming  ,   nodejs  ,   agile methodologies  ,   communication  ,   software development   ,  technology consulting",https://www.timesjobs.com/job-detail/python-developer-ntt-data-vertex-software-inc-hyderabad-secunderabad-3-to-9-yrs-jobid-xI6N9bREwgpzpSvf__PLUS__uAgZw==&source=srp
